"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"COLS_4","","Enter/Exit : Oakland Airport Connector entrance","Oakland Airport Connector entrance","37.75278901","-122.1957663","","","2","place_COLS"
"CONC_1","","Enter/Exit : East entrance","East entrance","37.97349","-122.028942","","","2","place_CONC"
"CONC_2","","Enter/Exit : West entrance","West entrance","37.97358","-122.029513","","","2","place_CONC"
"DBRK_1","","Enter/Exit : Shattuck Ave @ Allston Way (West)","Shattuck Ave @ Allston Way (West)","37.869529","-122.268176","","","2","place_DBRK"
"DBRK_2","","Enter/Exit : Shattuck Ave @ Allston Way (East)","Shattuck Ave @ Allston Way (East)","37.869632","-122.26776","","","2","place_DBRK"
"DBRK_3","","Enter/Exit : Shattuck Ave @ Addison Street (West)","Shattuck Ave @ Addison Street (West)","37.870931","-122.26836","","","2","place_DBRK"
"DBRK_4","","Enter/Exit : Shattuck Ave @ Addison Street (East)","Shattuck Ave @ Addison Street (East)","37.870958","-122.268112","","","2","place_DBRK"
"EMBR_1","","Enter/Exit : Market @ Spear Street (SE)","Market @ Spear Street (SE)","37.793506","-122.395853","","","2","place_EMBR"
"EMBR_2","","Enter/Exit : Market @ Drumm Street (NE)","Market @ Drumm Street (NE)","37.79365","-122.39604","","","2","place_EMBR"
"EMBR_3","","Enter/Exit : Market @ Davis Street (North)","Market @ Davis Street (North)","37.792895","-122.397019","","","2","place_EMBR"
"EMBR_4","","Enter/Exit : Market Street @ Main Street (South)","Market Street @ Main Street (South)","37.792887","-122.396584","","","2","place_EMBR"
"EMBR_5","","Enter/Exit : Market Street @ Front Street (NW)","Market Street @ Front Street (NW)","37.792242","-122.397802","","","2","place_EMBR"
"EMBR_6","","Enter/Exit : Market Street @ Fremont Street (SW)","Market Street @ Fremont Street (SW)","37.792077","-122.397619","","","2","place_EMBR"
"FTVL_2","","Enter/Exit : Station entrance (North)","Station entrance (North)","37.775038","-122.224196","","","2","place_FTVL"
"FTVL_3","","Enter/Exit : Station entrance (South)","Station entrance (South)","37.774847","-122.22437","","","2","place_FTVL"
"FRMT_1","","Enter/Exit : Station entrance (North)","Station entrance (North)","37.557566","-121.976481","","","2","place_FRMT"
"FRMT_2","","Enter/Exit : Station entrance (South)","Station entrance (South)","37.557356","-121.976706","","","2","place_FRMT"
"GLEN_1","","Enter/Exit : Station entrance","Station entrance","37.733176","-122.433856","","","2","place_GLEN"
"LAKE_1","","Enter/Exit : Oak Street @ 8th Street (SW)","Oak Street @ 8th Street (SW)","37.797134","-122.265537","","","2","place_LAKE"
"LAKE_2","","Enter/Exit : Oak Street @ 8th Street (SE)","Oak Street @ 8th Street (SE)","37.797032","-122.26518","","","2","place_LAKE"
"LAKE_3","","Enter/Exit : Oak Street @ 9th Street (NE)","Oak Street @ 9th Street (NE)","37.797416","-122.264877","","","2","place_LAKE"
"MLBR_5","","Enter/Exit : Station entrance (SW)","Station entrance (SW)","37.599939","-122.387135","","","2","place_MLBR"
"MONT_1","","Enter/Exit : Market @ Post Street (NW)","Market @ Post Street (NW)","37.788906","-122.402295","","","2","place_MONT"
"MONT_2","","Enter/Exit : Market (SW)","Market (SW)","37.788512","-122.402155","","","2","place_MONT"
"MONT_3","","Enter/Exit : Market @ Montgomery Street (NE)","Market @ Montgomery Street (NE)","37.789171","-122.401798","","","2","place_MONT"
"MONT_4","","Enter/Exit : Market @ 2nd Street (South)","Market @ 2nd Street (South)","37.789407","-122.401038","","","2","place_MONT"
"MONT_5","","Enter/Exit : Sutter Street","Sutter Street","37.78995","-122.400711","","","2","place_MONT"
"MONT_6","","Enter/Exit : Sansome Street","Sansome Street","37.79046","-122.400664","","","2","place_MONT"
"MONT_7","","Enter/Exit : Market Street (SE)","Market Street (SE)","37.789816","-122.400508","","","2","place_MONT"
"POWL_1","","Enter/Exit : Market Street @ 4th Street (NE)","Market Street @ 4th Street (NE)","37.786114","-122.405592","","","2","place_POWL"
"POWL_2","","Enter/Exit : Market Street @ 4th Street (SE)","Market Street @ 4th Street (SE)","37.785982","-122.405399","","","2","place_POWL"
"POWL_3","","Enter/Exit : Stockton Street","Stockton Street","37.785864","-122.406341","","","2","place_POWL"
"POWL_4","","Enter/Exit : Market Street @ Ellis Street","Market Street @ Ellis Street","37.785384","-122.406502","","","2","place_POWL"
"POWL_5","","Enter/Exit : Market Street @ 4th Street (South)","Market Street @ 4th Street (South)","37.785247","-122.406291","","","2","place_POWL"
"POWL_6","","Enter/Exit : Market Street @ 5th Street (NE)","Market Street @ 5th Street (NE)","37.784343","-122.40743","","","2","place_POWL"
"POWL_7","","Enter/Exit : Escalator to Market Street and Cable Cars","Escalator to Market Street and Cable Cars","37.78452","-122.407815","","","2","place_POWL"
"POWL_8","","Enter/Exit : Market Street @ 5th Street","Market Street @ 5th Street","37.783736","-122.408228","","","2","place_POWL"
"SBRN_3","","Enter/Exit : Station entrance (East)","Station entrance (East)","37.637687","-122.416097","","","2","place_SBRN"
"SFIA_1","","Enter/Exit : Station entrance","Station entrance","37.615906","-122.392534","","","2","place_SFIA"
"SHAY_3","","Enter/Exit : Station entrance (East)","Station entrance (East)","37.634562","-122.056826","","","2","place_SHAY"
"PITT_1","","Enter/Exit : Station entrance (South)","Station entrance (South)","38.018237","-121.945339","","","2","place_PITT"
"DELN_1","","Enter/Exit : Station entrance (North)","Station entrance (North)","37.925323","-122.317023","","","2","place_DELN"
"DELN_2","","Enter/Exit : Station entrance (South)","Station entrance (South)","37.924976","-122.316747","","","2","place_DELN"
"MLPT_1","","Enter/Exit: Station entrance ","Station entrance","37.410155","-121.890683","","","2","place_MLPT"
"BERY_1","","Enter/Exit: Station entrance ","Station entrance","37.368488","-121.874458","","","2","place_BERY"
